qrcodeid,Dhalao Name,Zone,Ward,Landmark,Type,Latitude,Longitude,Location
NGMSC00205,NEAR NAGAR AYUKT HOME ,3-Aurangabad,38-Civil lines,NEAR NAGAR AYUKT HOME ,Underground  Dustbin,27.462215,77.697723,NEAR NAGAR AYUKT HOME 
NGMSC00204,LAXMI NAGAR,1-City,14-Lakshmi Nagar Yamunapar,LAXMI NAGAR,Underground  Dustbin,27.506353,77.698788,LAXMI NAGAR
NGMSC00203,CIVIL LINES ,3-Aurangabad,38-Civil lines,CIVIL LINES ,Underground  Dustbin,27.47576,77.694124,CIVIL LINES 
NGMSC00202,INDUSTRIAL AREA,3-Aurangabad,52-Chandrapuri,INDUSTRIAL AREA,Underground  Dustbin,27.471803,77.664784,INDUSTRIAL AREA
NGMSC00201,MAHOLI ROAD ,2-Bhuteswar,37-Baldevpuri,MAHOLI ROAD,Underground  Dustbin,27.481012,77.658234,MAHOLI ROAD
NGMSC00200,SUPERVISOR:-HEMANT,4-Vrindavan,67-Kemar Van,sukhda bhakti,Dhalao,27.571316,77.685132,sukhda bhakti
NGMSC00199,SUPERVISOR:-HEMANT,4-Vrindavan,13-Sunrakh,nri green,Dhalao,27.574994,77.672917,nri green
NGMSC00198,"SUPERVISOR:-HEMANT	",4-Vrindavan,69-Ratan Chhatri,ratanchatri,Dhalao,27.576497,77.685342,ratanchatri
NGMSC00197,"SUPERVISOR:-HEMANT	",4-Vrindavan,67-Kemar Van,ramswaroop pandal,Dhalao,27.574971,77.682756,ramswaroop pandal
NGMSC00196,SUPERVISOR:-PAWAN KUMAR,4-Vrindavan,66-Keshighat,KESI GHAT KALI MANDIR,Dhalao,27.586943,77.703918,KESI GHAT KALI MANDIR
NGMSC00194,SUPERVISOR:-SONVEER,3-Aurangabad,59-Maholi Second,Pushpanjali  Road Mathura Lajpat Nagar,Dhalao,27.480218,77.656521,Pushpanjali  Road Mathura Lajpat Nagar
NGMSC00188,SUPERVISOR:-ARJUN,2-Bhuteswar,39-Mahavidhya Colony,HARISH RAGHAV KOTHI ,Dhalao,27.50056,77.664748,HARISH RAGHAV KOTHI 
NGMSC00187,SUPERVISOR:-ARJUN,2-Bhuteswar,36-Jaisingh Pura,JAISINGH PURA KHADAR,Dhalao,27.522604,77.675687,JAISINGH PURA KHADAR
NGMSC00186,SUPERVISOR:-ARJUN,2-Bhuteswar,36-Jaisingh Pura,GANESH TEELA,Dhalao,27.52332,77.675459,JAISINGH PURA
NGMSC00185,SUPERVISOR:-AMAN,3-Aurangabad,41-Dhaulipiau,Vijay baar ke samne,Dhalao,27.489002,77.677515,Vijay baar ke samne
NGMSC00184,SUPERVISOR:-AMAN,3-Aurangabad,41-Dhaulipiau,muskan hotel ke samne,Dhalao,27.479818,77.677701,muskan hotel ke samne
NGMSC00183,SUPERVISOR:-Ankit,3-Aurangabad,01-Birjapur,birzapur shauchalay ke pass,Dhalao,27.456451,77.680627,birzapur shauchalay ke pass
NGMSC00182,SUPERVISOR:-VIKASH KUMAR,2-Bhuteswar,43-Ganeshra,CRPF Camp,Dhalao,27.509052,77.641666,CRPF Camp
NGMSC00181,SUPERVISOR:-VIKASH KUMAR,2-Bhuteswar,43-Ganeshra,hariram medical,Dhalao,27.509054,77.643672,hariram medical
NGMSC00180,SUPERVISOR:-VIKASH KUMAR,2-Bhuteswar,43-Ganeshra,ganesra road sochale,Dhalao,27.509248,77.647102,ganesra road sochale
NGMSC00179,SUPERVISOR:-Ankit,3-Aurangabad,01-Birjapur,Ambedkar park,Dhalao,27.457955,77.679176,Ambedkar park
NGMSC00178,SUPERVISOR:-ANIL RANA,2-Bhuteswar,45-Birla Mandir,HOSPITAL BC GOYAL KE PEECHE ,Dhalao,27.527266,77.677284,HOSPITAL BC GOYAL KE PEECHE 
